,time,count,queue
0,10,1,0
1,10,2,0
2,10,3,0
3,10,3,1
4,10,3,2
5,10,3,3
6,10,3,4
7,10,3,5
8,10,3,6
9,10,3,7
10,20,3,8
11,110,2,8
12,110,1,8
13,110,0,8
14,120,3,6
15,120,3,7
16,210,2,7
17,210,1,7
18,210,0,7
19,220,3,5
20,220,3,6
21,220,3,7
22,310,2,7
23,310,1,7
24,310,0,7
25,320,3,5
26,320,3,6
27,320,3,7
28,410,2,7
29,410,1,7
30,410,0,7
31,420,3,5
32,420,3,6
33,420,3,7
34,510,2,7
35,510,1,7
36,510,0,7
37,520,3,5
38,520,3,6
39,520,3,7
40,610,2,7
41,610,1,7
42,610,0,7
43,620,3,5
44,620,3,6
45,620,3,7
46,710,2,7
47,710,1,7
48,710,0,7
49,720,3,5
50,720,3,6
51,720,3,7
52,810,2,7
53,810,1,7
54,810,0,7
55,820,3,5
56,820,3,6
57,820,3,7
58,910,2,7
59,910,1,7
60,910,0,7
61,920,3,5
62,920,3,6
63,920,3,7
64,1010,2,7
65,1010,1,7
66,1010,0,7
67,1020,3,5
68,1020,3,6
69,1020,3,7
70,1110,2,7
71,1110,1,7
72,1110,0,7
73,1120,3,5
74,1120,3,6
75,1120,3,7
76,1210,2,7
77,1210,1,7
78,1210,0,7
79,1220,3,5
80,1220,3,6
81,1220,3,7
82,1310,2,7
83,1310,1,7
84,1310,0,7
85,1320,3,5
86,1320,3,6
87,1320,3,7
88,1410,2,7
89,1410,1,7
90,1410,0,7
91,1420,3,5
92,1420,3,6
93,1420,3,7
94,1510,2,7
95,1510,1,7
96,1510,0,7
97,1520,3,5
98,1520,3,6
99,1520,3,7
100,1610,2,7
101,1610,1,7
102,1610,0,7
103,1620,3,5
104,1620,3,6
105,1620,3,7
106,1710,2,7
107,1710,1,7
108,1710,0,7
109,1720,3,5
110,1720,3,6
111,1720,3,7
112,1810,2,7
113,1810,1,7
114,1810,0,7
115,1820,3,5
116,1820,3,6
117,1820,3,7
118,1910,2,7
119,1910,1,7
120,1910,0,7
121,1920,3,5
122,1920,3,6
123,1920,3,7
124,2010,2,7
125,2010,1,7
126,2010,0,7
127,2020,3,5
128,2020,3,6
129,2020,3,7
130,2110,2,7
131,2110,1,7
132,2110,0,7
133,2120,3,5
134,2120,3,6
135,2120,3,7
136,2210,2,7
137,2210,1,7
138,2210,0,7
139,2220,3,5
140,2220,3,6
141,2220,3,7
142,2310,2,7
143,2310,1,7
144,2310,0,7
145,2320,3,5
146,2320,3,6
147,2320,3,7
148,2410,2,7
149,2410,1,7
150,2410,0,7
151,2420,3,5
152,2420,3,6
153,2420,3,7
154,2510,2,7
155,2510,1,7
156,2510,0,7
157,2520,3,5
158,2520,3,6
159,2520,3,7
160,2610,2,7
161,2610,1,7
162,2610,0,7
163,2620,3,5
164,2620,3,6
165,2620,3,7
166,2710,2,7
167,2710,1,7
168,2710,0,7
169,2720,3,5
170,2720,3,6
171,2720,3,7
172,2810,2,7
173,2810,1,7
174,2810,0,7
175,2820,3,5
176,2820,3,6
177,2820,3,7
178,2910,2,7
179,2910,1,7
180,2910,0,7
181,2920,3,5
182,2920,3,6
183,2920,3,7
184,3010,2,7
185,3010,1,7
186,3010,0,7
187,3020,3,5
188,3020,3,6
189,3020,3,7
190,3110,2,7
191,3110,1,7
192,3110,0,7
193,3120,3,5
194,3120,3,6
195,3120,3,7
196,3210,2,7
197,3210,1,7
198,3210,0,7
199,3220,3,5
200,3220,3,6
201,3220,3,7
202,3310,2,7
203,3310,1,7
204,3310,0,7
205,3320,3,5
206,3320,3,6
207,3320,3,7
208,3410,2,7
209,3410,1,7
210,3410,0,7
211,3420,3,5
212,3420,3,6
213,3420,3,7
214,3510,2,7
215,3510,1,7
216,3510,0,7
217,3520,3,5
218,3520,3,6
219,3520,3,7
220,3610,2,7
221,3610,1,7
222,3610,0,7
223,3620,3,5
224,3620,3,6
225,3620,3,7
226,3710,2,7
227,3710,1,7
228,3710,0,7
229,3720,3,5
230,3720,3,6
231,3720,3,7
232,3810,2,7
233,3810,1,7
234,3810,0,7
235,3820,3,5
236,3820,3,6
237,3820,3,7
238,3910,2,7
239,3910,1,7
240,3910,0,7
241,3920,3,5
242,3920,3,6
243,3920,3,7
244,4010,2,7
245,4010,1,7
246,4010,0,7
247,4020,3,5
248,4020,3,6
249,4020,3,7
250,4110,2,7
251,4110,1,7
252,4110,0,7
253,4120,3,5
254,4120,3,6
255,4120,3,7
256,4210,2,7
257,4210,1,7
258,4210,0,7
259,4220,3,5
260,4220,3,6
261,4220,3,7
262,4310,2,7
263,4310,1,7
264,4310,0,7
265,4320,3,5
266,4320,3,6
267,4320,3,7
268,4410,2,7
269,4410,1,7
270,4410,0,7
271,4420,3,5
272,4420,3,6
273,4420,3,7
274,4510,2,7
275,4510,1,7
276,4510,0,7
277,4520,3,5
278,4520,3,6
279,4520,3,7
280,4610,2,7
281,4610,1,7
282,4610,0,7
283,4620,3,5
284,4620,3,6
285,4620,3,7
286,4710,2,7
287,4710,1,7
288,4710,0,7
289,4720,3,5
290,4720,3,6
291,4720,3,7
292,4810,2,7
293,4810,1,7
294,4810,0,7
295,4820,3,5
296,4820,3,6
297,4820,3,7
298,4910,2,7
299,4910,1,7
300,4910,0,7
301,4920,3,5
302,4920,3,6
303,4920,3,7
304,5010,2,7
305,5010,1,7
306,5010,0,7
307,5020,3,5
308,5020,3,6
309,5020,3,7
310,5110,2,7
311,5110,1,7
312,5110,0,7
313,5120,3,5
314,5120,3,6
315,5120,3,7
316,5210,2,7
317,5210,1,7
318,5210,0,7
319,5220,3,5
320,5220,3,6
321,5220,3,7
322,5310,2,7
323,5310,1,7
324,5310,0,7
325,5320,3,5
326,5320,3,6
327,5320,3,7
328,5410,2,7
329,5410,1,7
330,5410,0,7
331,5420,3,5
332,5420,3,6
333,5420,3,7
334,5510,2,7
335,5510,1,7
336,5510,0,7
337,5520,3,5
338,5520,3,6
339,5520,3,7
340,5610,2,7
341,5610,1,7
342,5610,0,7
343,5620,3,5
344,5620,3,6
345,5620,3,7
346,5710,2,7
347,5710,1,7
348,5710,0,7
349,5720,3,5
350,5720,3,6
351,5720,3,7
352,5810,2,7
353,5810,1,7
354,5810,0,7
355,5820,3,5
356,5820,3,6
357,5820,3,7
358,5910,2,7
359,5910,1,7
360,5910,0,7
361,5920,3,5
362,5920,3,6
363,5920,3,7
364,6010,2,7
365,6010,1,7
366,6010,0,7
367,6020,3,5
368,6020,3,6
369,6020,3,7
370,6110,2,7
371,6110,1,7
372,6110,0,7
373,6120,3,5
374,6120,3,6
375,6120,3,7
376,6210,2,7
377,6210,1,7
378,6210,0,7
379,6220,3,5
380,6220,3,6
381,6220,3,7
382,6310,2,7
383,6310,1,7
384,6310,0,7
385,6320,3,5
386,6320,3,6
387,6320,3,7
388,6410,2,7
389,6410,1,7
390,6410,0,7
391,6420,3,5
392,6420,3,6
393,6420,3,7
394,6510,2,7
395,6510,1,7
396,6510,0,7
397,6520,3,5
398,6520,3,6
399,6520,3,7
400,6610,2,7
401,6610,1,7
402,6610,0,7
403,6620,3,5
404,6620,3,6
405,6620,3,7
406,6710,2,7
407,6710,1,7
408,6710,0,7
409,6720,3,5
410,6720,3,6
411,6720,3,7
412,6810,2,7
413,6810,1,7
414,6810,0,7
415,6820,3,5
416,6820,3,6
417,6820,3,7
418,6910,2,7
419,6910,1,7
420,6910,0,7
421,6920,3,5
422,6920,3,6
423,6920,3,7
424,7010,2,7
425,7010,1,7
426,7010,0,7
427,7020,3,5
428,7020,3,6
429,7020,3,7
430,7110,2,7
431,7110,1,7
432,7110,0,7
433,7120,3,5
434,7120,3,6
