,name,time,count,queue
0,db_server,14.649434946103957,2,2
1,db_server,17.98591682258099,2,3
0,load_balancer2,18.785769632773736,2,0
0,load_balancer,18.950184368547752,2,0
2,db_server,24.64943494610396,2,3
1,load_balancer,24.96085247363377,2,0
1,load_balancer2,25.241432449578667,2,0
3,db_server,27.98591682258099,2,4
2,load_balancer,31.38019124632105,2,0
2,load_balancer2,32.10408116071827,2,0
4,db_server,34.64943494610396,2,4
3,load_balancer,37.66375967745411,2,0
5,db_server,37.98591682258099,2,4
3,load_balancer2,38.77519075238173,2,0
4,load_balancer,44.50583831361512,2,0
6,db_server,44.64943494610396,2,6
4,load_balancer2,45.40991109381771,2,0
7,db_server,47.98591682258099,2,6
